status,title,description,presentation_url
published,QuickBooks Online,Recent work on QuickBooks Online.,https://mandantes.my.canva.site/qbo-work-sample
draft,Xero,Recent work output on Xero.,https://REPLACE_WITH_XERO_PUBLIC_PRESENTATION_LINK
