status,title,detail,more_details,logo_filename,verification_url,verification_label
published,Certified Public Accountant,CPA in the Philippines,,,,
published,QuickBooks Online ProAdvisor,Bookkeeping workflows and reporting,,qbo-certification.png,https://www.credly.com/badges/dc02c583-ca96-439e-99aa-db44ccb46acb/public_url,Verify in Credly
published,Xero Certified Professional Level 2,Day-to-day bookkeeping and reconciliations,,,,
published,National Bookkeeping Certificate (NCIII),Essential bookkeeping processes and compliance,,,,
